timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990372330,98,HTTP Request,200,OK,Thread Group 1-2,text,true,,521,129,11,11,http://172.23.66.36:3000/proceso_c,93,0,20
1732990372329,129,HTTP Request,200,OK,Thread Group 1-3,text,true,,535,129,12,12,http://172.23.66.36:3000/proceso_c,129,0,21
1732990372328,131,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,12,12,http://172.23.66.36:3000/proceso_c,131,0,23
1732990372328,133,HTTP Request,200,OK,Thread Group 1-7,text,true,,521,129,11,11,http://172.23.66.36:3000/proceso_c,132,0,21
1732990372329,141,HTTP Request,200,OK,Thread Group 1-1,text,true,,521,129,9,9,http://172.23.66.36:3000/proceso_c,141,0,22
1732990372358,118,HTTP Request,200,OK,Thread Group 1-9,text,true,,521,129,9,9,http://172.23.66.36:3000/proceso_c,118,0,1
1732990372328,151,HTTP Request,200,OK,Thread Group 1-4,text,true,,549,129,8,8,http://172.23.66.36:3000/proceso_c,151,0,22
1732990372334,147,HTTP Request,200,OK,Thread Group 1-8,text,true,,521,129,7,7,http://172.23.66.36:3000/proceso_c,147,0,15
1732990372382,122,HTTP Request,200,OK,Thread Group 1-10,text,true,,521,129,7,7,http://172.23.66.36:3000/proceso_c,122,0,1
1732990372409,99,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,6,6,http://172.23.66.36:3000/proceso_c,99,0,3
1732990372430,78,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,6,6,http://172.23.66.36:3000/proceso_c,78,0,1
1732990372456,53,HTTP Request,200,OK,Thread Group 1-13,text,true,,521,129,6,6,http://172.23.66.36:3000/proceso_c,53,0,5
1732990372329,181,HTTP Request,200,OK,Thread Group 1-5,text,true,,549,129,3,3,http://172.23.66.36:3000/proceso_c,181,0,21
1732990372501,27,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,3,3,http://172.23.66.36:3000/proceso_c,27,0,0
1732990372478,52,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,52,0,1
1732990372529,6,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,1
1732990372547,16,HTTP Request,200,OK,Thread Group 1-17,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,16,0,2
1732990372571,15,HTTP Request,200,OK,Thread Group 1-18,text,true,,521,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,4
1732990372594,15,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,2
1732990372620,9,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,9,0,1
1732990372644,20,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,20,0,1
1732990372669,7,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,1
1732990372692,8,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,8,0,1
1732990372732,12,HTTP Request,200,OK,Thread Group 1-24,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,12,0,1
1732990372739,10,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,10,0,1
1732990372765,12,HTTP Request,200,OK,Thread Group 1-26,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,2
1732990372789,23,HTTP Request,200,OK,Thread Group 1-27,text,true,,535,129,1,1,http://172.23.66.36:3000/proceso_c,23,0,0
1732990372814,6,HTTP Request,200,OK,Thread Group 1-28,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,1
1732990372837,10,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,10,0,2
1732990372862,12,HTTP Request,200,OK,Thread Group 1-30,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,2
1732990372886,13,HTTP Request,200,OK,Thread Group 1-31,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,1
1732990372910,9,HTTP Request,200,OK,Thread Group 1-32,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,9,0,1
1732990372934,11,HTTP Request,200,OK,Thread Group 1-33,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,11,0,1
1732990372960,17,HTTP Request,200,OK,Thread Group 1-34,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,16,0,1
1732990372985,14,HTTP Request,200,OK,Thread Group 1-35,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373009,21,HTTP Request,200,OK,Thread Group 1-36,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,21,0,1
1732990373033,8,HTTP Request,200,OK,Thread Group 1-37,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,8,0,2
1732990373057,11,HTTP Request,200,OK,Thread Group 1-38,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,11,0,2
1732990373082,15,HTTP Request,200,OK,Thread Group 1-39,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,2
1732990373106,8,HTTP Request,200,OK,Thread Group 1-40,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,8,0,1
1732990373130,14,HTTP Request,200,OK,Thread Group 1-41,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373154,11,HTTP Request,200,OK,Thread Group 1-42,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,11,0,1
1732990373178,14,HTTP Request,200,OK,Thread Group 1-43,text,true,,521,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373202,6,HTTP Request,200,OK,Thread Group 1-44,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,1
1732990373227,14,HTTP Request,200,OK,Thread Group 1-45,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373251,12,HTTP Request,200,OK,Thread Group 1-46,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990373276,14,HTTP Request,200,OK,Thread Group 1-47,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373300,8,HTTP Request,200,OK,Thread Group 1-48,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,8,0,0
1732990373322,10,HTTP Request,200,OK,Thread Group 1-49,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,9,0,2
1732990373348,13,HTTP Request,200,OK,Thread Group 1-50,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,1
1732990373369,37,HTTP Request,200,OK,Thread Group 1-51,text,true,,521,129,2,2,http://172.23.66.36:3000/proceso_c,37,0,1
1732990373395,15,HTTP Request,200,OK,Thread Group 1-52,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,1
1732990373419,8,HTTP Request,200,OK,Thread Group 1-53,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,8,0,2
1732990373443,8,HTTP Request,200,OK,Thread Group 1-54,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,8,0,1
1732990373469,25,HTTP Request,200,OK,Thread Group 1-55,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,25,0,1
1732990373492,7,HTTP Request,200,OK,Thread Group 1-56,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,1
1732990373517,14,HTTP Request,200,OK,Thread Group 1-57,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373535,7,HTTP Request,200,OK,Thread Group 1-58,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,1
1732990373560,15,HTTP Request,200,OK,Thread Group 1-59,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373584,12,HTTP Request,200,OK,Thread Group 1-60,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990373608,15,HTTP Request,200,OK,Thread Group 1-61,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,1
1732990373631,9,HTTP Request,200,OK,Thread Group 1-62,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,9,0,1
1732990373655,7,HTTP Request,200,OK,Thread Group 1-63,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,1
1732990373690,19,HTTP Request,200,OK,Thread Group 1-64,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,1
1732990373714,6,HTTP Request,200,OK,Thread Group 1-65,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,2
1732990373737,9,HTTP Request,200,OK,Thread Group 1-66,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,9,0,1
1732990373763,20,HTTP Request,200,OK,Thread Group 1-67,text,true,,521,129,1,1,http://172.23.66.36:3000/proceso_c,20,0,2
1732990373787,6,HTTP Request,200,OK,Thread Group 1-68,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,1
1732990373812,14,HTTP Request,200,OK,Thread Group 1-69,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373837,7,HTTP Request,200,OK,Thread Group 1-70,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,0
1732990373862,14,HTTP Request,200,OK,Thread Group 1-71,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990373887,15,HTTP Request,200,OK,Thread Group 1-72,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,1
1732990373910,10,HTTP Request,200,OK,Thread Group 1-73,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,10,0,1
1732990373936,12,HTTP Request,200,OK,Thread Group 1-74,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990373960,14,HTTP Request,200,OK,Thread Group 1-75,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,2
