timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990399757,120,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,24,24,http://172.23.66.36:3000/proceso_c,115,0,27
1732990399757,120,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,24,24,http://172.23.66.36:3000/proceso_c,120,0,32
1732990399757,142,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,23,23,http://172.23.66.36:3000/proceso_c,142,0,27
1732990399785,114,HTTP Request,200,OK,Thread Group 1-20,text,true,,521,129,22,22,http://172.23.66.36:3000/proceso_c,114,0,1
1732990399756,178,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,23,23,http://172.23.66.36:3000/proceso_c,178,0,30
1732990399756,181,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,22,22,http://172.23.66.36:3000/proceso_c,181,0,31
1732990399757,181,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,21,21,http://172.23.66.36:3000/proceso_c,181,0,30
1732990399757,205,HTTP Request,200,OK,Thread Group 1-7,text,true,,549,129,21,21,http://172.23.66.36:3000/proceso_c,205,0,31
1732990399757,215,HTTP Request,200,OK,Thread Group 1-3,text,true,,521,129,21,21,http://172.23.66.36:3000/proceso_c,215,0,27
1732990399757,216,HTTP Request,200,OK,Thread Group 1-15,text,true,,521,129,20,20,http://172.23.66.36:3000/proceso_c,216,0,31
1732990399757,218,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,19,19,http://172.23.66.36:3000/proceso_c,218,0,26
1732990399756,218,HTTP Request,200,OK,Thread Group 1-18,text,true,,535,129,19,19,http://172.23.66.36:3000/proceso_c,218,0,27
1732990399767,217,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,18,18,http://172.23.66.36:3000/proceso_c,217,0,22
1732990399760,255,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,18,18,http://172.23.66.36:3000/proceso_c,255,0,29
1732990399760,257,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,17,17,http://172.23.66.36:3000/proceso_c,257,0,29
1732990399757,261,HTTP Request,200,OK,Thread Group 1-14,text,true,,549,129,16,16,http://172.23.66.36:3000/proceso_c,261,0,31
1732990399904,130,HTTP Request,200,OK,Thread Group 1-26,text,true,,521,129,16,16,http://172.23.66.36:3000/proceso_c,130,0,1
1732990399825,209,HTTP Request,200,OK,Thread Group 1-22,text,true,,535,129,15,15,http://172.23.66.36:3000/proceso_c,209,0,1
1732990399755,289,HTTP Request,200,OK,Thread Group 1-17,text,true,,535,129,14,14,http://172.23.66.36:3000/proceso_c,289,0,33
1732990399757,288,HTTP Request,200,OK,Thread Group 1-2,text,true,,549,129,14,14,http://172.23.66.36:3000/proceso_c,288,0,27
1732990399768,277,HTTP Request,200,OK,Thread Group 1-6,text,true,,521,129,14,14,http://172.23.66.36:3000/proceso_c,277,0,21
1732990399923,126,HTTP Request,200,OK,Thread Group 1-27,text,true,,521,129,12,12,http://172.23.66.36:3000/proceso_c,126,0,1
1732990399845,205,HTTP Request,200,OK,Thread Group 1-23,text,true,,535,129,11,11,http://172.23.66.36:3000/proceso_c,205,0,2
1732990399865,186,HTTP Request,200,OK,Thread Group 1-24,text,true,,507,129,10,10,http://172.23.66.36:3000/proceso_c,186,0,1
1732990399943,109,HTTP Request,200,OK,Thread Group 1-28,text,true,,507,129,9,9,http://172.23.66.36:3000/proceso_c,109,0,1
1732990399884,171,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,8,8,http://172.23.66.36:3000/proceso_c,171,0,1
1732990399757,299,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,8,8,http://172.23.66.36:3000/proceso_c,299,0,27
1732990399806,249,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,6,6,http://172.23.66.36:3000/proceso_c,249,0,1
1732990399962,99,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,6,6,http://172.23.66.36:3000/proceso_c,99,0,1
1732990399982,80,HTTP Request,200,OK,Thread Group 1-30,text,true,,507,129,5,5,http://172.23.66.36:3000/proceso_c,80,0,1
1732990400022,40,HTTP Request,200,OK,Thread Group 1-32,text,true,,507,129,4,4,http://172.23.66.36:3000/proceso_c,40,0,0
1732990400002,73,HTTP Request,200,OK,Thread Group 1-31,text,true,,507,129,3,3,http://172.23.66.36:3000/proceso_c,73,0,0
1732990400046,35,HTTP Request,200,OK,Thread Group 1-33,text,true,,521,129,3,3,http://172.23.66.36:3000/proceso_c,35,0,1
1732990400060,25,HTTP Request,200,OK,Thread Group 1-34,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,25,0,1
1732990400081,12,HTTP Request,200,OK,Thread Group 1-35,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990400099,6,HTTP Request,200,OK,Thread Group 1-36,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,1
1732990400120,7,HTTP Request,200,OK,Thread Group 1-37,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,1
1732990400139,7,HTTP Request,200,OK,Thread Group 1-38,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,7,0,1
1732990400159,12,HTTP Request,200,OK,Thread Group 1-39,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990400180,19,HTTP Request,200,OK,Thread Group 1-40,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,18,0,1
