timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990343955,94,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,10,10,http://172.23.66.36:3000/proceso_c,90,0,22
1732990343955,94,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,10,10,http://172.23.66.36:3000/proceso_c,90,0,22
1732990343955,97,HTTP Request,200,OK,Thread Group 1-5,text,true,,549,129,10,10,http://172.23.66.36:3000/proceso_c,96,0,24
1732990343955,110,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,7,7,http://172.23.66.36:3000/proceso_c,110,0,23
1732990343968,100,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,6,6,http://172.23.66.36:3000/proceso_c,100,0,10
1732990343954,124,HTTP Request,200,OK,Thread Group 1-1,text,true,,521,129,6,6,http://172.23.66.36:3000/proceso_c,123,0,24
1732990343960,118,HTTP Request,200,OK,Thread Group 1-2,text,true,,521,129,6,6,http://172.23.66.36:3000/proceso_c,118,0,18
1732990343955,128,HTTP Request,200,OK,Thread Group 1-6,text,true,,521,129,4,4,http://172.23.66.36:3000/proceso_c,128,0,23
1732990344008,77,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,3,3,http://172.23.66.36:3000/proceso_c,77,0,0
1732990344034,56,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,56,0,0
1732990344069,22,HTTP Request,200,OK,Thread Group 1-11,text,true,,521,129,1,1,http://172.23.66.36:3000/proceso_c,22,0,1
1732990344104,6,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,6,0,1
1732990344132,16,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,16,0,1
1732990344168,12,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,0
1732990344194,16,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,2
1732990344233,14,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990344257,11,HTTP Request,200,OK,Thread Group 1-17,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,11,0,1
1732990344298,13,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,1
1732990344329,12,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990344356,16,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,16,0,4
1732990344388,14,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990344421,11,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,11,0,1
1732990344459,13,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,1
