timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990522984,129,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,65,65,http://172.23.66.36:3000/proceso_c,129,0,14
1732990522972,139,HTTP Request,200,OK,Thread Group 1-35,text,true,,507,129,65,65,http://172.23.66.36:3000/proceso_c,132,0,22
1732990522971,280,HTTP Request,200,OK,Thread Group 1-51,text,true,,521,129,75,75,http://172.23.66.36:3000/proceso_c,280,0,23
1732990522972,344,HTTP Request,200,OK,Thread Group 1-46,text,true,,507,129,80,80,http://172.23.66.36:3000/proceso_c,344,0,25
1732990522963,428,HTTP Request,200,OK,Thread Group 1-31,text,true,,507,129,86,86,http://172.23.66.36:3000/proceso_c,427,0,34
1732990522985,419,HTTP Request,200,OK,Thread Group 1-27,text,true,,507,129,86,86,http://172.23.66.36:3000/proceso_c,419,0,13
1732990522979,463,HTTP Request,200,OK,Thread Group 1-1,text,true,,549,129,89,89,http://172.23.66.36:3000/proceso_c,463,0,15
1732990522973,526,HTTP Request,200,OK,Thread Group 1-47,text,true,,535,129,93,93,http://172.23.66.36:3000/proceso_c,526,0,21
1732990522986,513,HTTP Request,200,OK,Thread Group 1-44,text,true,,507,129,93,93,http://172.23.66.36:3000/proceso_c,513,0,12
1732990522972,545,HTTP Request,200,OK,Thread Group 1-34,text,true,,549,129,93,93,http://172.23.66.36:3000/proceso_c,545,0,27
1732990522979,545,HTTP Request,200,OK,Thread Group 1-37,text,true,,535,129,92,92,http://172.23.66.36:3000/proceso_c,545,0,18
1732990522972,571,HTTP Request,200,OK,Thread Group 1-25,text,true,,535,129,93,93,http://172.23.66.36:3000/proceso_c,571,0,22
1732990522987,557,HTTP Request,200,OK,Thread Group 1-20,text,true,,521,129,93,93,http://172.23.66.36:3000/proceso_c,557,0,11
1732990522972,580,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,91,91,http://172.23.66.36:3000/proceso_c,580,0,26
1732990522979,605,HTTP Request,200,OK,Thread Group 1-45,text,true,,507,129,92,92,http://172.23.66.36:3000/proceso_c,605,0,20
1732990522981,603,HTTP Request,200,OK,Thread Group 1-40,text,true,,549,129,92,92,http://172.23.66.36:3000/proceso_c,603,0,13
1732990522977,619,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,91,91,http://172.23.66.36:3000/proceso_c,619,0,16
1732990522972,634,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,91,91,http://172.23.66.36:3000/proceso_c,634,0,22
1732990522972,635,HTTP Request,200,OK,Thread Group 1-33,text,true,,507,129,90,90,http://172.23.66.36:3000/proceso_c,635,0,23
1732990522964,643,HTTP Request,200,OK,Thread Group 1-13,text,true,,549,129,90,90,http://172.23.66.36:3000/proceso_c,643,0,35
1732990522977,630,HTTP Request,200,OK,Thread Group 1-3,text,true,,549,129,89,89,http://172.23.66.36:3000/proceso_c,630,0,18
1732990522985,623,HTTP Request,200,OK,Thread Group 1-49,text,true,,507,129,88,88,http://172.23.66.36:3000/proceso_c,623,0,11
1732990522987,621,HTTP Request,200,OK,Thread Group 1-18,text,true,,535,129,86,86,http://172.23.66.36:3000/proceso_c,621,0,11
1732990522972,674,HTTP Request,200,OK,Thread Group 1-32,text,true,,535,129,89,89,http://172.23.66.36:3000/proceso_c,674,0,28
1732990522978,693,HTTP Request,200,OK,Thread Group 1-14,text,true,,521,129,90,90,http://172.23.66.36:3000/proceso_c,693,0,21
1732990522977,697,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,89,89,http://172.23.66.36:3000/proceso_c,697,0,23
1732990522968,707,HTTP Request,200,OK,Thread Group 1-12,text,true,,521,129,88,88,http://172.23.66.36:3000/proceso_c,707,0,34
