timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990107068,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,73,0,24
1732990107076,67,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,2,2,http://172.23.66.36:3000/proceso_c,61,0,19
1732990107178,19,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,2
1732990107278,15,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990107373,15,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,3
1732990107474,18,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,18,0,2
1732990107571,15,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,1
1732990107670,12,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990107768,14,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,2
1732990107867,21,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,20,0,2
1732990107966,19,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,2
1732990108066,19,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,2
1732990108165,21,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,21,0,1
1732990108263,15,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,2
1732990108362,16,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,16,0,2
1732990108461,17,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,17,0,1
1732990108559,21,HTTP Request,200,OK,Thread Group 1-17,text,true,,521,129,1,1,http://172.23.66.36:3000/proceso_c,21,0,1
1732990108658,14,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990108758,13,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,1
1732990108858,22,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,22,0,9
1732990108957,17,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,17,0,1
1732990109057,18,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,18,0,1
1732990109156,18,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,18,0,1
1732990109255,15,HTTP Request,200,OK,Thread Group 1-24,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990109354,12,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990109454,14,HTTP Request,200,OK,Thread Group 1-26,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,1
1732990109553,19,HTTP Request,200,OK,Thread Group 1-27,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,1
1732990109652,12,HTTP Request,200,OK,Thread Group 1-28,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990109750,14,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,14,0,2
1732990109851,18,HTTP Request,200,OK,Thread Group 1-30,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,18,0,2
1732990109950,12,HTTP Request,200,OK,Thread Group 1-31,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990110050,15,HTTP Request,200,OK,Thread Group 1-32,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,15,0,1
1732990110149,19,HTTP Request,200,OK,Thread Group 1-33,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,1
1732990110248,17,HTTP Request,200,OK,Thread Group 1-34,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,17,0,2
1732990110349,12,HTTP Request,200,OK,Thread Group 1-35,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,12,0,1
1732990110447,18,HTTP Request,200,OK,Thread Group 1-36,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,18,0,2
1732990110546,13,HTTP Request,200,OK,Thread Group 1-37,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,13,0,2
1732990110646,19,HTTP Request,200,OK,Thread Group 1-38,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,19,0,1
1732990110745,20,HTTP Request,200,OK,Thread Group 1-39,text,true,,507,129,1,1,http://172.23.66.36:3000/proceso_c,20,0,2
