timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990698153,108,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,38,38,http://172.23.66.36:3000/proceso_c,84,0,8
1732990698144,117,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,38,38,http://172.23.66.36:3000/proceso_c,93,0,15
1732990698152,123,HTTP Request,200,OK,Thread Group 1-11,text,true,,521,129,37,37,http://172.23.66.36:3000/proceso_c,123,0,10
1732990698152,207,HTTP Request,200,OK,Thread Group 1-22,text,true,,535,129,47,47,http://172.23.66.36:3000/proceso_c,207,0,9
1732990698147,212,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,46,46,http://172.23.66.36:3000/proceso_c,212,0,15
1732990698149,230,HTTP Request,200,OK,Thread Group 1-17,text,true,,507,129,47,47,http://172.23.66.36:3000/proceso_c,230,0,13
1732990698160,223,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,47,47,http://172.23.66.36:3000/proceso_c,223,0,2
1732990698137,259,HTTP Request,200,OK,Thread Group 1-21,text,true,,535,129,47,47,http://172.23.66.36:3000/proceso_c,259,0,29
1732990698150,262,HTTP Request,200,OK,Thread Group 1-12,text,true,,521,129,48,48,http://172.23.66.36:3000/proceso_c,262,0,12
1732990698151,263,HTTP Request,200,OK,Thread Group 1-24,text,true,,521,129,47,47,http://172.23.66.36:3000/proceso_c,263,0,11
1732990698147,281,HTTP Request,200,OK,Thread Group 1-7,text,true,,521,129,48,48,http://172.23.66.36:3000/proceso_c,281,0,14
1732990698139,337,HTTP Request,200,OK,Thread Group 1-23,text,true,,549,129,52,52,http://172.23.66.36:3000/proceso_c,337,0,23
1732990698138,342,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,51,51,http://172.23.66.36:3000/proceso_c,342,0,28
1732990698182,304,HTTP Request,200,OK,Thread Group 1-28,text,true,,535,129,51,51,http://172.23.66.36:3000/proceso_c,304,0,1
1732990698190,366,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,58,58,http://172.23.66.36:3000/proceso_c,366,0,1
1732990698151,418,HTTP Request,200,OK,Thread Group 1-3,text,true,,535,129,57,57,http://172.23.66.36:3000/proceso_c,418,0,11
1732990698137,437,HTTP Request,200,OK,Thread Group 1-10,text,true,,521,129,57,57,http://172.23.66.36:3000/proceso_c,437,0,25
1732990698139,436,HTTP Request,200,OK,Thread Group 1-20,text,true,,535,129,56,56,http://172.23.66.36:3000/proceso_c,436,0,23
