timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990968807,75,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,31,31,http://172.23.66.36:3000/proceso_c,71,0,29
1732990968808,293,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,56,56,http://172.23.66.36:3000/proceso_c,293,0,27
1732990968814,338,HTTP Request,200,OK,Thread Group 1-22,text,true,,521,129,58,58,http://172.23.66.36:3000/proceso_c,338,0,22
1732990968808,345,HTTP Request,200,OK,Thread Group 1-3,text,true,,521,129,58,58,http://172.23.66.36:3000/proceso_c,345,0,25
1732990968824,375,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,64,64,http://172.23.66.36:3000/proceso_c,375,0,17
1732990968839,370,HTTP Request,200,OK,Thread Group 1-26,text,true,,521,129,64,64,http://172.23.66.36:3000/proceso_c,370,0,2
1732990968831,380,HTTP Request,200,OK,Thread Group 1-24,text,true,,549,129,63,63,http://172.23.66.36:3000/proceso_c,380,0,9
1732990968807,425,HTTP Request,200,OK,Thread Group 1-2,text,true,,535,129,64,64,http://172.23.66.36:3000/proceso_c,425,0,31
1732990968808,432,HTTP Request,200,OK,Thread Group 1-8,text,true,,521,129,64,64,http://172.23.66.36:3000/proceso_c,432,0,27
1732990968824,417,HTTP Request,200,OK,Thread Group 1-15,text,true,,535,129,63,63,http://172.23.66.36:3000/proceso_c,417,0,11
1732990968806,445,HTTP Request,200,OK,Thread Group 1-17,text,true,,549,129,64,64,http://172.23.66.36:3000/proceso_c,445,0,35
1732990968807,446,HTTP Request,200,OK,Thread Group 1-12,text,true,,521,129,63,63,http://172.23.66.36:3000/proceso_c,446,0,34
1732990968806,449,HTTP Request,200,OK,Thread Group 1-7,text,true,,521,129,62,62,http://172.23.66.36:3000/proceso_c,449,0,33
1732990968807,520,HTTP Request,200,OK,Thread Group 1-5,text,true,,521,129,69,69,http://172.23.66.36:3000/proceso_c,520,0,34
1732990969172,197,HTTP Request,200,OK,Thread Group 1-65,text,true,,507,129,72,72,http://172.23.66.36:3000/proceso_c,197,0,1
